Participant ID,Data DOI,Title,Citation,Publication DOI
30-11084,10.48698/HHE6-YV15,The chromatin landscape of healthy and injured cell types in the human kidney,"Gisch DL, Brennan M, Lake BB, Basta J, Keller M, Ferreira RM, Akilesh S, Ghag R, Lu C, Cheng YH, Collins KS, Parikh SV, Rovin BH, Robbins L, Conklin KY, Diep D, Zhang B, Knoten A, Barwinska D, Asghari M, Sabo AR, Ferkowicz MJ, Sutton TA, Kelly KJ, Boer IH, Rosas SE, Kiryluk K, Hodgin JB, Alakwaa F, Jefferson N, Gaut JP, Gehlenborg N, Phillips CL, El-Achkar TM, Dagher PC, Hato T, Zhang K, Himmelfarb J, Kretzler M, Mollah S; Kidney Precision Medicine Project (KPMP); Jain S, Rauchman M, Eadon MT. The chromatin landscape of healthy and injured cell types in the human kidney. bioRxiv [Preprint]. 2023 Jun 8:2023.06.07.543965. doi: 10.1101/2023.06.07.543965. Update in: Nat Commun. 2024 Jan 10;15(1):433. PMID: 37333123; PMCID: PMC10274789.",10.1101/2023.06.07.543965
31-10000,10.48698/3z31-8924,An atlas of healthy and injured cell states and niches in the human kidney,"Lake BB, Menon R, Winfree S, Hu Q, Melo Ferreira R, Kalhor K, Barwinska D, Otto EA, Ferkowicz M, Diep D, Plongthongkum N, Knoten A, Urata S, Mariani LH, Naik AS, Eddy S, Zhang B, Wu Y, Salamon D, Williams JC, Wang X, Balderrama KS, Hoover PJ, Murray E, Marshall JL, Noel T, Vijayan A, Hartman A, Chen F, Waikar SS, Rosas SE, Wilson FP, Palevsky PM, Kiryluk K, Sedor JR, Toto RD, Parikh CR, Kim EH, Satija R, Greka A, Macosko EZ, Kharchenko PV, Gaut JP, Hodgin JB; KPMP Consortium; Eadon MT, Dagher PC, El-Achkar TM, Zhang K, Kretzler M, Jain S. An atlas of healthy and injured cell states and niches in the human kidney. Nature. 2023 Jul;619(7970):585-594. doi: 10.1038/s41586-023-05769-3. Epub 2023 Jul 19. PMID: 37468583; PMCID: PMC10356613.",10.1038/s41586-023-05769-3
29-10280,10.48698/3z31-8924,An atlas of healthy and injured cell states and niches in the human kidney,"Lake BB, Menon R, Winfree S, Hu Q, Melo Ferreira R, Kalhor K, Barwinska D, Otto EA, Ferkowicz M, Diep D, Plongthongkum N, Knoten A, Urata S, Mariani LH, Naik AS, Eddy S, Zhang B, Wu Y, Salamon D, Williams JC, Wang X, Balderrama KS, Hoover PJ, Murray E, Marshall JL, Noel T, Vijayan A, Hartman A, Chen F, Waikar SS, Rosas SE, Wilson FP, Palevsky PM, Kiryluk K, Sedor JR, Toto RD, Parikh CR, Kim EH, Satija R, Greka A, Macosko EZ, Kharchenko PV, Gaut JP, Hodgin JB; KPMP Consortium; Eadon MT, Dagher PC, El-Achkar TM, Zhang K, Kretzler M, Jain S. An atlas of healthy and injured cell states and niches in the human kidney. Nature. 2023 Jul;619(7970):585-594. doi: 10.1038/s41586-023-05769-3. Epub 2023 Jul 19. PMID: 37468583; PMCID: PMC10356613.",10.1038/s41586-023-05769-3
30-10034,10.48698/3z31-8924,An atlas of healthy and injured cell states and niches in the human kidney,"Lake BB, Menon R, Winfree S, Hu Q, Melo Ferreira R, Kalhor K, Barwinska D, Otto EA, Ferkowicz M, Diep D, Plongthongkum N, Knoten A, Urata S, Mariani LH, Naik AS, Eddy S, Zhang B, Wu Y, Salamon D, Williams JC, Wang X, Balderrama KS, Hoover PJ, Murray E, Marshall JL, Noel T, Vijayan A, Hartman A, Chen F, Waikar SS, Rosas SE, Wilson FP, Palevsky PM, Kiryluk K, Sedor JR, Toto RD, Parikh CR, Kim EH, Satija R, Greka A, Macosko EZ, Kharchenko PV, Gaut JP, Hodgin JB; KPMP Consortium; Eadon MT, Dagher PC, El-Achkar TM, Zhang K, Kretzler M, Jain S. An atlas of healthy and injured cell states and niches in the human kidney. Nature. 2023 Jul;619(7970):585-594. doi: 10.1038/s41586-023-05769-3. Epub 2023 Jul 19. PMID: 37468583; PMCID: PMC10356613.",10.1038/s41586-023-05769-3
33-10006,10.48698/3z31-8924,An atlas of healthy and injured cell states and niches in the human kidney,"Lake BB, Menon R, Winfree S, Hu Q, Melo Ferreira R, Kalhor K, Barwinska D, Otto EA, Ferkowicz M, Diep D, Plongthongkum N, Knoten A, Urata S, Mariani LH, Naik AS, Eddy S, Zhang B, Wu Y, Salamon D, Williams JC, Wang X, Balderrama KS, Hoover PJ, Murray E, Marshall JL, Noel T, Vijayan A, Hartman A, Chen F, Waikar SS, Rosas SE, Wilson FP, Palevsky PM, Kiryluk K, Sedor JR, Toto RD, Parikh CR, Kim EH, Satija R, Greka A, Macosko EZ, Kharchenko PV, Gaut JP, Hodgin JB; KPMP Consortium; Eadon MT, Dagher PC, El-Achkar TM, Zhang K, Kretzler M, Jain S. An atlas of healthy and injured cell states and niches in the human kidney. Nature. 2023 Jul;619(7970):585-594. doi: 10.1038/s41586-023-05769-3. Epub 2023 Jul 19. PMID: 37468583; PMCID: PMC10356613.",10.1038/s41586-023-05769-3
33-10005,10.48698/3z31-8924,An atlas of healthy and injured cell states and niches in the human kidney,"Lake BB, Menon R, Winfree S, Hu Q, Melo Ferreira R, Kalhor K, Barwinska D, Otto EA, Ferkowicz M, Diep D, Plongthongkum N, Knoten A, Urata S, Mariani LH, Naik AS, Eddy S, Zhang B, Wu Y, Salamon D, Williams JC, Wang X, Balderrama KS, Hoover PJ, Murray E, Marshall JL, Noel T, Vijayan A, Hartman A, Chen F, Waikar SS, Rosas SE, Wilson FP, Palevsky PM, Kiryluk K, Sedor JR, Toto RD, Parikh CR, Kim EH, Satija R, Greka A, Macosko EZ, Kharchenko PV, Gaut JP, Hodgin JB; KPMP Consortium; Eadon MT, Dagher PC, El-Achkar TM, Zhang K, Kretzler M, Jain S. An atlas of healthy and injured cell states and niches in the human kidney. Nature. 2023 Jul;619(7970):585-594. doi: 10.1038/s41586-023-05769-3. Epub 2023 Jul 19. PMID: 37468583; PMCID: PMC10356613.",10.1038/s41586-023-05769-3
21-020,10.48698/HHE6-YV15,The chromatin landscape of healthy and injured cell types in the human kidney,"Gisch DL, Brennan M, Lake BB, Basta J, Keller M, Ferreira RM, Akilesh S, Ghag R, Lu C, Cheng YH, Collins KS, Parikh SV, Rovin BH, Robbins L, Conklin KY, Diep D, Zhang B, Knoten A, Barwinska D, Asghari M, Sabo AR, Ferkowicz MJ, Sutton TA, Kelly KJ, Boer IH, Rosas SE, Kiryluk K, Hodgin JB, Alakwaa F, Jefferson N, Gaut JP, Gehlenborg N, Phillips CL, El-Achkar TM, Dagher PC, Hato T, Zhang K, Himmelfarb J, Kretzler M, Mollah S; Kidney Precision Medicine Project (KPMP); Jain S, Rauchman M, Eadon MT. The chromatin landscape of healthy and injured cell types in the human kidney. bioRxiv [Preprint]. 2023 Jun 8:2023.06.07.543965. doi: 10.1101/2023.06.07.543965. Update in: Nat Commun. 2024 Jan 10;15(1):433. PMID: 37333123; PMCID: PMC10274789.",10.1101/2023.06.07.543965
PRE062-1,10.48698/B2XN-D827,Role of endogenous adenine in kidney failure and mortality with diabetes,"Sharma K, Zhang G, Hansen J, Bjornstad P, Lee HJ, Menon R, Hejazi L, Liu JJ, Franzone A, Looker HC, Choi BY, Fernandez R, Venkatachalam MA, Kugathasan L, Sridhar VS, Natarajan L, Zhang J, Sharma V, Kwan B, Waikar S, Himmelfarb J, Tuttle K, Kestenbaum B, Fuhrer T, Feldman H, de Boer IH, Tucci FC, Sedor J, Heerspink HL, Schaub J, Otto E, Hodgin JB, Kretzler M, Anderton C, Alexandrov T, Cherney D, Lim SC, Nelson RG, Gelfond J, Iyengar R; Kidney Precision Medicine Project. Role of endogenous adenine in kidney failure and mortality with diabetes. medRxiv [Preprint]. 2023 Jun 4:2023.05.31.23290681. doi: 10.1101/2023.05.31.23290681. PMID: 37398187; PMCID: PMC10312877.",10.1101/2023.05.31.23290681
32-10034,10.48698/3z31-8924,An atlas of healthy and injured cell states and niches in the human kidney,"Lake BB, Menon R, Winfree S, Hu Q, Melo Ferreira R, Kalhor K, Barwinska D, Otto EA, Ferkowicz M, Diep D, Plongthongkum N, Knoten A, Urata S, Mariani LH, Naik AS, Eddy S, Zhang B, Wu Y, Salamon D, Williams JC, Wang X, Balderrama KS, Hoover PJ, Murray E, Marshall JL, Noel T, Vijayan A, Hartman A, Chen F, Waikar SS, Rosas SE, Wilson FP, Palevsky PM, Kiryluk K, Sedor JR, Toto RD, Parikh CR, Kim EH, Satija R, Greka A, Macosko EZ, Kharchenko PV, Gaut JP, Hodgin JB; KPMP Consortium; Eadon MT, Dagher PC, El-Achkar TM, Zhang K, Kretzler M, Jain S. An atlas of healthy and injured cell states and niches in the human kidney. Nature. 2023 Jul;619(7970):585-594. doi: 10.1038/s41586-023-05769-3. Epub 2023 Jul 19. PMID: 37468583; PMCID: PMC10356613.",10.1038/s41586-023-05769-3
Sample1157-EO1,10.48698/B2XN-D827,Role of endogenous adenine in kidney failure and mortality with diabetes,"Sharma K, Zhang G, Hansen J, Bjornstad P, Lee HJ, Menon R, Hejazi L, Liu JJ, Franzone A, Looker HC, Choi BY, Fernandez R, Venkatachalam MA, Kugathasan L, Sridhar VS, Natarajan L, Zhang J, Sharma V, Kwan B, Waikar S, Himmelfarb J, Tuttle K, Kestenbaum B, Fuhrer T, Feldman H, de Boer IH, Tucci FC, Sedor J, Heerspink HL, Schaub J, Otto E, Hodgin JB, Kretzler M, Anderton C, Alexandrov T, Cherney D, Lim SC, Nelson RG, Gelfond J, Iyengar R; Kidney Precision Medicine Project. Role of endogenous adenine in kidney failure and mortality with diabetes. medRxiv [Preprint]. 2023 Jun 4:2023.05.31.23290681. doi: 10.1101/2023.05.31.23290681. PMID: 37398187; PMCID: PMC10312877.",10.1101/2023.05.31.23290681
29-10010,10.48698/3z31-8924,An atlas of healthy and injured cell states and niches in the human kidney,"Lake BB, Menon R, Winfree S, Hu Q, Melo Ferreira R, Kalhor K, Barwinska D, Otto EA, Ferkowicz M, Diep D, Plongthongkum N, Knoten A, Urata S, Mariani LH, Naik AS, Eddy S, Zhang B, Wu Y, Salamon D, Williams JC, Wang X, Balderrama KS, Hoover PJ, Murray E, Marshall JL, Noel T, Vijayan A, Hartman A, Chen F, Waikar SS, Rosas SE, Wilson FP, Palevsky PM, Kiryluk K, Sedor JR, Toto RD, Parikh CR, Kim EH, Satija R, Greka A, Macosko EZ, Kharchenko PV, Gaut JP, Hodgin JB; KPMP Consortium; Eadon MT, Dagher PC, El-Achkar TM, Zhang K, Kretzler M, Jain S. An atlas of healthy and injured cell states and niches in the human kidney. Nature. 2023 Jul;619(7970):585-594. doi: 10.1038/s41586-023-05769-3. Epub 2023 Jul 19. PMID: 37468583; PMCID: PMC10356613.",10.1038/s41586-023-05769-3
21-019,10.48698/HHE6-YV15,The chromatin landscape of healthy and injured cell types in the human kidney,"Gisch DL, Brennan M, Lake BB, Basta J, Keller M, Ferreira RM, Akilesh S, Ghag R, Lu C, Cheng YH, Collins KS, Parikh SV, Rovin BH, Robbins L, Conklin KY, Diep D, Zhang B, Knoten A, Barwinska D, Asghari M, Sabo AR, Ferkowicz MJ, Sutton TA, Kelly KJ, Boer IH, Rosas SE, Kiryluk K, Hodgin JB, Alakwaa F, Jefferson N, Gaut JP, Gehlenborg N, Phillips CL, El-Achkar TM, Dagher PC, Hato T, Zhang K, Himmelfarb J, Kretzler M, Mollah S; Kidney Precision Medicine Project (KPMP); Jain S, Rauchman M, Eadon MT. The chromatin landscape of healthy and injured cell types in the human kidney. bioRxiv [Preprint]. 2023 Jun 8:2023.06.07.543965. doi: 10.1101/2023.06.07.543965. Update in: Nat Commun. 2024 Jan 10;15(1):433. PMID: 37333123; PMCID: PMC10274789.",10.1101/2023.06.07.543965
27-10039,10.48698/3z31-8924,An atlas of healthy and injured cell states and niches in the human kidney,"Lake BB, Menon R, Winfree S, Hu Q, Melo Ferreira R, Kalhor K, Barwinska D, Otto EA, Ferkowicz M, Diep D, Plongthongkum N, Knoten A, Urata S, Mariani LH, Naik AS, Eddy S, Zhang B, Wu Y, Salamon D, Williams JC, Wang X, Balderrama KS, Hoover PJ, Murray E, Marshall JL, Noel T, Vijayan A, Hartman A, Chen F, Waikar SS, Rosas SE, Wilson FP, Palevsky PM, Kiryluk K, Sedor JR, Toto RD, Parikh CR, Kim EH, Satija R, Greka A, Macosko EZ, Kharchenko PV, Gaut JP, Hodgin JB; KPMP Consortium; Eadon MT, Dagher PC, El-Achkar TM, Zhang K, Kretzler M, Jain S. An atlas of healthy and injured cell states and niches in the human kidney. Nature. 2023 Jul;619(7970):585-594. doi: 10.1038/s41586-023-05769-3. Epub 2023 Jul 19. PMID: 37468583; PMCID: PMC10356613.",10.1038/s41586-023-05769-3
29-10006,10.48698/3z31-8924,An atlas of healthy and injured cell states and niches in the human kidney,"Lake BB, Menon R, Winfree S, Hu Q, Melo Ferreira R, Kalhor K, Barwinska D, Otto EA, Ferkowicz M, Diep D, Plongthongkum N, Knoten A, Urata S, Mariani LH, Naik AS, Eddy S, Zhang B, Wu Y, Salamon D, Williams JC, Wang X, Balderrama KS, Hoover PJ, Murray E, Marshall JL, Noel T, Vijayan A, Hartman A, Chen F, Waikar SS, Rosas SE, Wilson FP, Palevsky PM, Kiryluk K, Sedor JR, Toto RD, Parikh CR, Kim EH, Satija R, Greka A, Macosko EZ, Kharchenko PV, Gaut JP, Hodgin JB; KPMP Consortium; Eadon MT, Dagher PC, El-Achkar TM, Zhang K, Kretzler M, Jain S. An atlas of healthy and injured cell states and niches in the human kidney. Nature. 2023 Jul;619(7970):585-594. doi: 10.1038/s41586-023-05769-3. Epub 2023 Jul 19. PMID: 37468583; PMCID: PMC10356613.",10.1038/s41586-023-05769-3
21-015,10.48698/3z31-8924,An atlas of healthy and injured cell states and niches in the human kidney,"Lake BB, Menon R, Winfree S, Hu Q, Melo Ferreira R, Kalhor K, Barwinska D, Otto EA, Ferkowicz M, Diep D, Plongthongkum N, Knoten A, Urata S, Mariani LH, Naik AS, Eddy S, Zhang B, Wu Y, Salamon D, Williams JC, Wang X, Balderrama KS, Hoover PJ, Murray E, Marshall JL, Noel T, Vijayan A, Hartman A, Chen F, Waikar SS, Rosas SE, Wilson FP, Palevsky PM, Kiryluk K, Sedor JR, Toto RD, Parikh CR, Kim EH, Satija R, Greka A, Macosko EZ, Kharchenko PV, Gaut JP, Hodgin JB; KPMP Consortium; Eadon MT, Dagher PC, El-Achkar TM, Zhang K, Kretzler M, Jain S. An atlas of healthy and injured cell states and niches in the human kidney. Nature. 2023 Jul;619(7970):585-594. doi: 10.1038/s41586-023-05769-3. Epub 2023 Jul 19. PMID: 37468583; PMCID: PMC10356613.",10.1038/s41586-023-05769-3
17-1606,10.48698/HHE6-YV15,The chromatin landscape of healthy and injured cell types in the human kidney,"Gisch DL, Brennan M, Lake BB, Basta J, Keller M, Ferreira RM, Akilesh S, Ghag R, Lu C, Cheng YH, Collins KS, Parikh SV, Rovin BH, Robbins L, Conklin KY, Diep D, Zhang B, Knoten A, Barwinska D, Asghari M, Sabo AR, Ferkowicz MJ, Sutton TA, Kelly KJ, Boer IH, Rosas SE, Kiryluk K, Hodgin JB, Alakwaa F, Jefferson N, Gaut JP, Gehlenborg N, Phillips CL, El-Achkar TM, Dagher PC, Hato T, Zhang K, Himmelfarb J, Kretzler M, Mollah S; Kidney Precision Medicine Project (KPMP); Jain S, Rauchman M, Eadon MT. The chromatin landscape of healthy and injured cell types in the human kidney. bioRxiv [Preprint]. 2023 Jun 8:2023.06.07.543965. doi: 10.1101/2023.06.07.543965. Update in: Nat Commun. 2024 Jan 10;15(1):433. PMID: 37333123; PMCID: PMC10274789.",10.1101/2023.06.07.543965
30-10929,10.48698/3z31-8924,An atlas of healthy and injured cell states and niches in the human kidney,"Lake BB, Menon R, Winfree S, Hu Q, Melo Ferreira R, Kalhor K, Barwinska D, Otto EA, Ferkowicz M, Diep D, Plongthongkum N, Knoten A, Urata S, Mariani LH, Naik AS, Eddy S, Zhang B, Wu Y, Salamon D, Williams JC, Wang X, Balderrama KS, Hoover PJ, Murray E, Marshall JL, Noel T, Vijayan A, Hartman A, Chen F, Waikar SS, Rosas SE, Wilson FP, Palevsky PM, Kiryluk K, Sedor JR, Toto RD, Parikh CR, Kim EH, Satija R, Greka A, Macosko EZ, Kharchenko PV, Gaut JP, Hodgin JB; KPMP Consortium; Eadon MT, Dagher PC, El-Achkar TM, Zhang K, Kretzler M, Jain S. An atlas of healthy and injured cell states and niches in the human kidney. Nature. 2023 Jul;619(7970):585-594. doi: 10.1038/s41586-023-05769-3. Epub 2023 Jul 19. PMID: 37468583; PMCID: PMC10356613.",10.1038/s41586-023-05769-3
31-10001,10.48698/3z31-8924,An atlas of healthy and injured cell states and niches in the human kidney,"Lake BB, Menon R, Winfree S, Hu Q, Melo Ferreira R, Kalhor K, Barwinska D, Otto EA, Ferkowicz M, Diep D, Plongthongkum N, Knoten A, Urata S, Mariani LH, Naik AS, Eddy S, Zhang B, Wu Y, Salamon D, Williams JC, Wang X, Balderrama KS, Hoover PJ, Murray E, Marshall JL, Noel T, Vijayan A, Hartman A, Chen F, Waikar SS, Rosas SE, Wilson FP, Palevsky PM, Kiryluk K, Sedor JR, Toto RD, Parikh CR, Kim EH, Satija R, Greka A, Macosko EZ, Kharchenko PV, Gaut JP, Hodgin JB; KPMP Consortium; Eadon MT, Dagher PC, El-Achkar TM, Zhang K, Kretzler M, Jain S. An atlas of healthy and injured cell states and niches in the human kidney. Nature. 2023 Jul;619(7970):585-594. doi: 10.1038/s41586-023-05769-3. Epub 2023 Jul 19. PMID: 37468583; PMCID: PMC10356613.",10.1038/s41586-023-05769-3
