HubMAP ID,Submission ID,Lab ID,Type,Group Name,Created By
HBM798.SLHS.554,VAN0112-RK-40,Anterior 12 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM776.QRPN.788,VAN0112-RK-41,Anterior 12 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM787.SQKZ.273,VAN0112-RK-44,Posterior 2 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM828.MZDD.788,VAN0112-RK-43,Posterior 2 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM446.TTQK.879,VAN0112-RK-48,Posterior 4 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM527.HXPJ.667,VAN0112-RK-51,Posterior 5 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM953.JDDQ.247,VAN0112-RK-46,Posterior 3 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM292.SZLP.743,VAN0112-RK-49,Posterior 4 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM823.ZMBM.854,VAN0112-RK-50,Posterior 4 E,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM694.BFBF.488,VAN0112-RK-47,Posterior 4 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM396.FRFX.532,VAN0112-RK-52,Posterior 5 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM387.LNRH.259,VAN0112-RK-53,Posterior 5 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM263.WXWS.548,VAN0112-RK-55,Posterior 6 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM428.DHQK.728,VAN0112-RK-54,Posterior 5 E,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM796.RTMC.653,VAN0112-RK-57,Posterior 6 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM323.LXQC.528,VAN0112-RK-56,Posterior 6 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM578.XFJV.895,VAN0112-RK-60,Posterior 7 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM325.XBKX.435,VAN0112-RK-58,Posterior 6 E,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM326.XGKS.433,VAN0112-RK-59,Posterior 7 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM757.RNXT.995,VAN0112-RK-69,Posterior 9 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM324.BKKD.464,VAN0112-RK-63,Posterior 8 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM687.HDVB.474,VAN0112-RK-67,Posterior 9 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM484.ZVKT.637,VAN0112-RK-64,Posterior 8 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM256.GTDN.293,VAN0112-RK-65,Posterior 8 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM445.LQHS.647,VAN0112-RK-66,Posterior 8 E,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM865.WDMD.433,VAN0112-RK-61,Posterior 7 E,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM259.ZMVL.769,VAN0112-RK-68,Posterior 9 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM747.VSPX.269,VAN0112-RK-62,Posterior 7 F,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM527.GLLT.389,VAN0112-RK-72,Posterior 10 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM854.KZTJ.542,VAN0112-RK-74,Posterior 10 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM824.KJHT.363,VAN0112-RK-71,Posterior 9 F,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM749.CCKP.223,VAN0112-RK-77,Posterior 11 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM735.XJMC.393,VAN0112-RK-79,Posterior 11 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM737.PLJS.672,VAN0112-RK-75,Posterior 10 E,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM278.BHRC.837,VAN0112-RK-78,Posterior 11 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM258.DJPD.337,VAN0112-RK-76,Posterior 10 F,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM222.SPDZ.887,VAN0112-RK-70,Posterior 9 E,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM527.JXLF.536,VAN0112-RK-73,Posterior 10 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM998.GKGC.975,VAN0112-RK-83,Posterior 12 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM488.CHDL.258,VAN0112-RK-82,Posterior 12 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM982.ZCVV.782,VAN0112-RK-81,Posterior 11 F,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM297.PSFB.387,VAN0112-RK-85,Posterior 12 E,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM924.FKPJ.778,VAN0112-RK-86,Posterior 12 F,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM989.PLHZ.948,VAN0112-RK-80,Posterior 11 E,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM266.VPZP.788,VAN0112-RK-84,Posterior 12 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM667.LRVJ.256,VAN0112-RK-19-82,,Section,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM759.DNGF.665,VAN0112-RK-19-58,,Section,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM725.HGKX.753,VAN0112-RK-19-22,,Section,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM285.HNWR.359,VAN0112-RK-19-17,,Section,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM459.ZKRF.354,VAN0112-RK-19-6,,Section,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM393.PWFP.787,VAN0112-RK-19-5,,Section,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM582.LMKD.377,VAN0112-RK-19-48,,Section,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM378.PRLS.965,VAN0112-RK-19-71,,Section,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM966.HGJF.495,VAN0112-RK-19-84,,Section,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM823.QFQZ.368,VAN0112-RK-19-8,,Section,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM968.GMCD.385,VAN0112-RK-19-23,,Section,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM359.MSCS.988,VAN0112-RK-19-43,,Section,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
