pin_nhash_id,polygon_nhash_id,atlas_id,local_name,slab_nhash_id,donor_nhash_id,slab_name,donor_name,pin_MNI_x,pin_MNI_y,pin_MNI_z,polygon_area,polygon_volume(mm^3),MNI_x_mm,MNI_y_mm,MNI_z_mm,structure_name,structure_acronym
RI-MJKORM777772,RI-ZGCZCY788058,265297126,H19.30.002.10x.Gpe.003,SL-RLQJQV866644,DO-RLQJ8666,H19.30.002.CX.49,H19.30.002,139,219,145,20920.5,363,28.5,24.5,0.5,white matter of forebrain,FWM
RI-BBEGHC893595,RI-ZUBVVB366905,265297126,H19.30.002.10x.LP.003,SL-RLQJHH866663,DO-RLQJ8666,H19.30.002.CX.51,H19.30.002,151,207,158,20594,348,22.5,30.5,7,thalamus,THM
RI-FCBBYF169777,RI-CDCABH659802,265297126,H19.30.002.10x.Pul,SL-RLQJLL866617,DO-RLQJ8666,H19.30.002.CX.52,H19.30.002,151,201,139,1974,36,22.5,33.5,-2.5,thalamus,THM
RI-FELEGJ583624,RI-HCBHYY527538,265297126,H19.30.002.CX53.MTC,SL-RLQJMH866642,DO-RLQJ8666,H19.30.002.CX.53,H19.30.002,65,176,116,9264,149,65.5,46,-14,middle temporal gyrus,MTG
RI-HFEMKE903868,RI-IKOKII678867,265297126,H19.30.002.10x.A19,SL-RLQJZA866677,DO-RLQJ8666,H19.30.002.CX.57,H19.30.002,139,105,220,527,5,28.5,81.5,38,superior occipital gyrus,SOG
RI-QSXRXQ724530,RI-PMNKMO263442,265297126,H19.30.001.10x.S1C.003,SL-HBBUTY135243,DO-HBBU1352,H19.30.001.CX.50,H19.30.001,139,189,290,201364.5,3815,28.5,39.5,73,outside_brain,OUT
RI-UVVUQU625004,RI-DBDGFF423174,265297126,H19.30.001.CX51.PPHC,SL-HBBULN135262,DO-HBBU1352,H19.30.001.CX.51,H19.30.001,148,205,108,18832.5,341,24,31.5,-18,posterior parahippocampal gyrus,PPH
RI-TQNLOQ754504,RI-XWZWXV434038,265297126,H19.30.001.10x.A13,SL-HBBUYZ135250,DO-HBBU1352,H19.30.001.CX.44,H19.30.001,139,311,96,64638,1077,28.5,-21.5,-24,posterior intermediate orbital gyrus,POrG
RI-YQQVSS184018,RI-XFXBZD749134,265297126,H18.30.002.CX49.M1C.10x.001,SL-KFFCZT489026,DO-KFFC4890,H18.30.002.CX.49,H18.30.002,188,168,283,4786,292,4,50,69.5,precuneus,PrCun
RI-XWZATY678488,RI-JMOJLM857670,265297126,H18.30.002.10x.IC,SL-KFFCKO489066,DO-KFFC4890,H18.30.002.CX.51,H18.30.002,188,199,109,10660.5,685,4,34.5,-17.5,pontine tegmentum,PnTg
RI-NPQPQP106248,RI-OJKNLM426097,265297126,H18.30.002.10x.DTg,SL-KFFCFM489091,DO-KFFC4890,H18.30.002.CX.52,H18.30.002,170,189,67,13022,798,13,39.5,-38.5,middle cerebellar peduncle,mcp
RI-PXYYUS141403,RI-EDDABD942837,265297126,H18.30.002.10x.A19,SL-KFFCWW489030,DO-KFFC4890,H18.30.002.CX.54,H18.30.002,121,124,173,9517,586,37.5,72,14.5,inferior occipital gyrus,IOG
RI-TKPPMN978234,RI-EEYBXF240496,265297126,H19.30.002.10x.MD,SL-RLQJWW866674,DO-RLQJ8666,H19.30.002.CX.50,H19.30.002,170,227,152,8849,160,13,20.5,4,ventral posterior medial nucleus,VPM
RI-PMQNOS788200,RI-ZVTVVZ820345,265297126,H19.30.002.10x.MG,SL-RLQJHH866663,DO-RLQJ8666,H19.30.002.CX.51,H19.30.002,151,212,130,21408,362,22.5,28,-7,dorsal lateral geniculate nucleus,DLG
RI-RSMNKL143217,RI-OTURQO666653,265297126,H19.30.001.CX51.M1C,SL-HBBULN135262,DO-HBBU1352,H19.30.001.CX.51,H19.30.001,188,180,270,43740,794,4,44,63,"paracentral lobule, caudal part",PCLc
RI-JJIKFI380697,RI-PPSOPO863576,265297126,H19.30.001.10x.TF,SL-HBBUTT135271,DO-HBBU1352,H19.30.001.CX.52,H19.30.001,122,180,127,25390,406,37,44,-8.5,white matter of forebrain,FWM
RI-DDBGIZ498211,RI-WRVVQN305227,265297126,H19.30.001.CX56.V1C,SL-HBBUJC135260,DO-HBBU1352,H19.30.001.CX.56,H19.30.001,164,128,154,25794,338,16,70,5,lingual gyrus,LiG
RI-PRPQRT152089,RI-DEBXZZ779943,265297126,H19.30.001.10x.Pir,SL-HBBUVP135290,DO-HBBU1352,H19.30.001.CX.46,H19.30.001,121,270,93,115526.5,1467,37.5,-1,-25.5,white matter of forebrain,FWM
RI-RVVUTR886175,RI-ORSQWO422123,265297126,H18.30.002.10x.A46,SL-KFFCEE489085,DO-KFFC4890,H18.30.002.CX.43,H18.30.002,114,293,257,6467,387,41,-12.5,56.5,middle frontal gyrus,MFG
RI-JEFKJM652526,RI-QQIJNL193447,265297126,H18.30.002.10x.A14,SL-KFFCUB489027,DO-KFFC4890,H18.30.002.CX.45,H18.30.002,197,299,95,3547.5,216,-0.5,-15.5,-24.5,outside_brain,OUT
RI-NQOTLQ743402,RI-RNMSQR910763,265297126,H18.30.002.10x.S1C.003,SL-KFFCZT489026,DO-KFFC4890,H18.30.002.CX.49,H18.30.002,139,195,292,2914.5,178,28.5,36.5,74,postcentral gyrus,PoCG
RI-HPIPPP377293,RI-WOOTOR737243,265297126,H18.30.002.10x.A5-A7,SL-KFFCKO489066,DO-KFFC4890,H18.30.002.CX.51,H18.30.002,152,126,263,3157,203,22,71,59.5,supraparietal lobule,SPL
RI-YAXCEA296838,RI-MLKOKM241550,265297126,H18.30.002.10x.PnEN,SL-KFFCFM489091,DO-KFFC4890,H18.30.002.CX.52,H18.30.002,171,175,74,10107,619,12.5,46.5,-35,white matter of hindbrain,HWM
RI-MNMMRR105598,RI-CBZYBG915275,265297126,H18.30.002.10x.CBL,SL-KFFCCX489028,DO-KFFC4890,H18.30.002.CX.53,H18.30.002,148,172,62,3712.5,242,24,48,-41,white matter of hindbrain,HWM
RI-XWYZWU295666,RI-TUUZUU645233,265297126,H18.30.002.10x.MoSR,SL-KFFCWW489030,DO-KFFC4890,H18.30.002.CX.54,H18.30.002,188,158,37,2790.5,171,4,55,-53.5,paravermis of cerebellum,CBPV
RI-CDFFFL804624,RI-TTZTQQ189218,265297126,H19.30.002.10x.A13.001,SL-RLQJYW866674,DO-RLQJ8666,H19.30.002.CX.45,H19.30.002,148,305,96,53544,1076,24,-18.5,-24,posterior intermediate orbital gyrus,POrG
RI-AXYFEE689464,RI-ADEBZB698801,265297126,H19.30.002.10x.AON.001,SL-RLQJWR866652,DO-RLQJ8666,H19.30.002.CX.46,H19.30.002,164,288,114,5256.5,87,16,-10,-15,white matter of forebrain,FWM
RI-MMLPPT504358,RI-EKLGHN146306,265297126,H19.30.002.10x.S1C.004,SL-RLQJHH866663,DO-RLQJ8666,H19.30.002.CX.51,H19.30.002,139,188,289,269663,4566,28.5,40,72.5,outside_brain,OUT
RI-NURROO325377,RI-ADAADY474524,265297126,H19.30.002.10x.SC,SL-RLQJLL866617,DO-RLQJ8666,H19.30.002.CX.52,H19.30.002,188,210,116,1989.5,36,4,29,-14,midbrain tegmentum,MTg
RI-OTTMLL628716,RI-AYXYWY919148,265297126,H19.30.002.CX55.A7,SL-RLQJWU866623,DO-RLQJ8666,H19.30.002.CX.55,H19.30.002,172,111,262,7600.5,111,12,78.5,59,supraparietal lobule,SPL
RI-RMRNLJ552769,RI-VRMPRU452022,265297126,H19.30.002.CX56.V2,SL-RLQJWV866671,DO-RLQJ8666,H19.30.002.CX.56,H19.30.002,164,159,131,2443.5,31,16,54.5,-6.5,lingual gyrus,LiG
RI-EFHKGI270792,RI-WXRRTU188412,265297126,H19.30.002.CX57.PSC,SL-RLQJZA866677,DO-RLQJ8666,H19.30.002.CX.57,H19.30.002,164,114,202,46566,490,16,77,29,cuneus,Cun
RI-MIHLQQ354569,RI-XUOQQT789348,265297126,H19.30.001.10x.Pul,SL-HBBUTY135243,DO-HBBU1352,H19.30.001.CX.50,H19.30.001,164,204,153,583,11,16,32,4.5,pulvinar of thalamus,Pul
RI-CFJBHD262132,RI-DGECGH203813,265297126,H18.30.002.10x.A13,SL-KFFCUB489027,DO-KFFC4890,H18.30.002.CX.45,H18.30.002,164,294,93,4458,271,16,-13,-25.5,medial orbital gyrus,MOrG
RI-ECAFFE468390,RI-VRTRUY291060,265297126,H18.30.002.10x.GPi,SL-KFFCYT489056,DO-KFFC4890,H18.30.002.CX.47,H18.30.002,164,260,140,5060.5,310,16,4,-2,internal segment of globus pallidus,GPi
RI-XDYAZV139146,RI-FADBAD425333,265297126,H18.30.002.10x.MD-Re,SL-KFFCZT489026,DO-KFFC4890,H18.30.002.CX.49,H18.30.002,164,226,154,7827,478,16,21,5,ventral posterior lateral nucleus,VPL
RI-XYTWRT507459,RI-XFYFBC851471,265297126,H18.30.002.10x.A29-A30,SL-KFFCPR489021,DO-KFFC4890,H18.30.002.CX.50,H18.30.002,170,189,199,1925.5,117,13,39.5,27.5,white matter of forebrain,FWM
RI-DAXAYA796558,RI-OJKOIG793578,265297126,H19.30.002.CX45.A38,SL-RLQJYW866674,DO-RLQJ8666,H19.30.002.CX.45,H19.30.002,114,316,87,15947,320,41,-24,-28.5,temporal pole,TP
RI-TYSQYY126661,RI-YBGFYG880046,265297126,H19.30.002.10x.FI,SL-RLQJWR866652,DO-RLQJ8666,H19.30.002.CX.46,H19.30.002,139,286,117,10885,181,28.5,-9,-13.5,white matter of forebrain,FWM
RI-KIHGOO537036,RI-VWYVYU794034,265297126,H19.30.002.10x.BNST,SL-RLQJDG866647,DO-RLQJ8666,H19.30.002.CX.47,H19.30.002,164,276,146,3572,66,16,-4,1,external segment of globus pallidus,GPe
RI-KIHGOO537036,RI-ZSUVWT552906,265297126,H19.30.002.CX47.BNST,SL-RLQJDG866647,DO-RLQJ8666,H19.30.002.CX.47,H19.30.002,164,276,145,11943,223,16,-4,0.5,external segment of globus pallidus,GPe
RI-DEDAFA482427,RI-SVWWWU456266,265297126,H19.30.002.10x.LP,SL-RLQJWW866674,DO-RLQJ8666,H19.30.002.CX.50,H19.30.002,161,207,174,12235.5,221,17.5,30.5,15,body of lateral ventricle,bLV
RI-CDDFJD828854,RI-FEDGFE608166,265297126,H19.30.002.10x.Ig,SL-RLQJHH866663,DO-RLQJ8666,H19.30.002.CX.51,H19.30.002,135,205,155,3094,52,30.5,31.5,5.5,white matter of forebrain,FWM
RI-IKDMDG987483,RI-WSTVTT123933,265297126,H19.30.001.10x.BL,SL-HBBUDD135255,DO-HBBU1352,H19.30.001.CX.47,H19.30.001,151,256,107,20776,491,22.5,6,-18.5,basolateral nucleus (basal nucleus),BL
RI-DACDUV309966,RI-YQSZTU215088,265297126,H19.30.001.10x.SN,SL-HBBUWX135273,DO-HBBU1352,H19.30.001.CX.48,H19.30.001,171,247,124,10031,167,12.5,10.5,-10,midbrain tegmentum,MTg
RI-ONRTUS988923,RI-TYXTUV782046,265297126,H19.30.001.10x.VPL,SL-HBBUTY135243,DO-HBBU1352,H19.30.001.CX.50,H19.30.001,151,202,157,19985,378,22.5,33,6.5,white matter of forebrain,FWM
RI-MLONPM904083,RI-UAVZAZ301022,265297126,H19.30.001.CX45.A38,SL-HBBUPU135265,DO-HBBU1352,H19.30.001.CX.45,H19.30.001,120,299,90,115160.5,2195,38,-15.5,-27,temporal pole,TP
RI-MPOQLQ721147,RI-VVAXVU897696,265297126,H18.30.002.10x.BN.004,SL-KFFCNK489015,DO-KFFC4890,H18.30.002.CX.46,H18.30.002,164,271,195,16130,964,16,-1.5,25.5,anterior horn of lateral ventricle,aLV
RI-WVWTXU141407,RI-ORURQW253643,265297126,H18.30.002.10x.ITG,SL-KFFCZT489026,DO-KFFC4890,H18.30.002.CX.49,H18.30.002,90,237,57,1853,113,53,15.5,-43.5,outside_brain,OUT
RI-IJEJBD680187,RI-FBEKFF173395,265297126,H18.30.002.10x.A40,SL-KFFCPR489021,DO-KFFC4890,H18.30.002.CX.50,H18.30.002,62,196,188,4236,259,67,36,22,supramarginal gyrus,SMG
RI-KKHIHH685237,RI-UQRSRV185782,265297126,H19.30.002.CX46.A46,SL-RLQJWR866652,DO-RLQJ8666,H19.30.002.CX.46,H19.30.002,90,293,217,27373.5,456,53,-12.5,36.5,outside_brain,OUT
RI-RPSRTU385491,RI-YRZUVS662835,265297126,H19.30.002.10x.Pir,SL-RLQJDG866647,DO-RLQJ8666,H19.30.002.CX.47,H19.30.002,151,274,121,1268,23,22.5,-3,-11.5,white matter of forebrain,FWM
RI-IHJLMI973161,RI-NQKRKL555447,265297126,H19.30.002.10x.GPe,SL-RLQJNI866689,DO-RLQJ8666,H19.30.002.CX.48,H19.30.002,151,246,146,25552.5,487,22.5,11,1,white matter of forebrain,FWM
RI-NKQRMJ198388,RI-KIPONK193342,265297126,H19.30.002.10x.VLN.003,SL-RLQJWW866674,DO-RLQJ8666,H19.30.002.CX.50,H19.30.002,148,217,149,36958.5,669,24,25.5,2.5,thalamus,THM
RI-JNMNKR865835,RI-INNKFL119448,265297126,H19.30.002.10x.PTR,SL-RLQJHH866663,DO-RLQJ8666,H19.30.002.CX.51,H19.30.002,170,228,131,13509,228,13,20,-6.5,midbrain tegmentum,MTg
RI-AWZUWY335316,RI-BIEGFC790037,265297126,H19.30.002.10x.A29-A30,SL-RLQJLL866617,DO-RLQJ8666,H19.30.002.CX.52,H19.30.002,171,182,201,2894,53,12.5,43,28.5,white matter of forebrain,FWM
RI-TQRPOP329094,RI-AYXZVY480993,265297126,H19.30.001.10x.CMN,SL-HBBUDD135255,DO-HBBU1352,H19.30.001.CX.47,H19.30.001,164,252,115,27460.5,650,16,8,-14.5,posterior cortical nucleus,CoP
RI-LPPLQR197949,RI-KEGIII462752,265297126,H19.30.001.10x.PAG,SL-HBBUTY135243,DO-HBBU1352,H19.30.001.CX.50,H19.30.001,201,222,121,14199,269,-2.5,23,-11.5,red nucleus,RN
RI-CDKGHI632686,RI-GJIHLG219524,265297126,H19.30.001.10x.NAC,SL-HBBUPU135265,DO-HBBU1352,H19.30.001.CX.45,H19.30.001,170,290,136,28489,543,13,-11,-4,white matter of forebrain,FWM
RI-CDKGHI632686,RI-BCBFIB283867,265297126,H19.30.001.CX45.NAC,SL-HBBUPU135265,DO-HBBU1352,H19.30.001.CX.45,H19.30.001,170,294,134,16198,308,13,-13,-5,white matter of forebrain,FWM
RI-YZBZDZ804464,RI-SUXPXT679212,265297126,H19.30.001.10x.BNST,SL-HBBUVP135290,DO-HBBU1352,H19.30.001.CX.46,H19.30.001,185,272,147,24102,306,5.5,-2,1.5,bed nucleus of stria terminalis,BNST
RI-ZCEABA894893,RI-YBUTVX371610,265297126,H18.30.002.10x.V1C,SL-KFFCTU489045,DO-KFFC4890,H18.30.002.CX.55,H18.30.002,152,123,156,23382.5,1653,22,72.5,6,posterior horn of lateral ventricle,pLV
RI-MRMJIL935722,RI-RMRMSO346747,265297126,H18.30.002.10x.V2,SL-KFFCWW489030,DO-KFFC4890,H18.30.002.CX.54,H18.30.002,170,121,174,5527,340,13,73.5,15,cuneus,Cun
RI-NNKILJ295263,RI-MKIOLM219265,265297126,H19.30.002.10x.A32,SL-RLQJII866689,DO-RLQJ8666,H19.30.002.CX.43,H19.30.002,163,334,181,36785,404,16.5,-33,18.5,white matter of forebrain,FWM
RI-HLCELE815674,RI-JKIIOJ655569,265297126,H19.30.002.10x.A1C.004,SL-RLQJHH866663,DO-RLQJ8666,H19.30.002.CX.51,H19.30.002,127,198,171,65967,1117,34.5,35,13.5,white matter of forebrain,FWM
RI-BGJCAI827398,RI-XDBBAD470336,265297126,H19.30.002.10x.A7,SL-RLQJWU866623,DO-RLQJ8666,H19.30.002.CX.55,H19.30.002,164,114,247,23943,351,16,77,51.5,supraparietal lobule,SPL
RI-HDLFCI802258,RI-ZBBCFC592642,265297126,H19.30.001.10x.DGR-CA4Rpy,SL-HBBUTY135243,DO-HBBU1352,H19.30.001.CX.50,H19.30.001,139,218,119,9059.5,171,28.5,25,-12.5,body of hippocampus,HiB
RI-TOOSSV537798,RI-SOPRSW895870,265297126,H19.30.001.10x.A40,SL-HBBUTT135271,DO-HBBU1352,H19.30.001.CX.52,H19.30.001,78,147,218,27302,437,59,60.5,37,angular gyrus,AnG
RI-BAGXXX365869,RI-ZRRUYA465443,265297126,H19.30.002.10x.A44-A45,SL-RLQJIB866650,DO-RLQJ8666,H19.30.002.CX.44,H19.30.002,90,315,179,216470.5,3355,53,-23.5,17.5,white matter of forebrain,FWM
RI-KRNKOO423757,RI-JQRQML407714,265297126,H19.30.002.10x.ITG,SL-RLQJQV866644,DO-RLQJ8666,H19.30.002.CX.49,H19.30.002,121,242,51,5604.5,97,37.5,13,-46.5,outside_brain,OUT
RI-VZYVWS290177,RI-WRVAUX809709,265297126,H19.30.002.10x.A40,SL-RLQJLL866617,DO-RLQJ8666,H19.30.002.CX.52,H19.30.002,65,199,184,12744,236,65.5,34.5,20,supramarginal gyrus,SMG
RI-PROLNS612309,RI-PMTMRL593954,265297126,H19.30.001.10x.La,SL-HBBUDD135255,DO-HBBU1352,H19.30.001.CX.47,H19.30.001,148,259,108,1384,32,24,4.5,-18,basolateral nucleus (basal nucleus),BL
RI-EJCFDD764453,RI-DEDAAF382044,265297126,H19.30.001.CX55.PSC,SL-HBBUCK135253,DO-HBBU1352,H19.30.001.CX.55,H19.30.001,185,128,212,25890.5,347,5.5,70,34,precuneus,PrCun
RI-KKMLHF611733,RI-VRWWWY178689,265297126,H19.30.001.CX56.V2,SL-HBBUJC135260,DO-HBBU1352,H19.30.001.CX.56,H19.30.001,164,137,136,19740,259,16,65.5,-4,lingual gyrus,LiG
RI-XBCZXB930978,RI-ZCDFDB580786,265297126,H18.30.002.10x.AON,SL-KFFCNK489015,DO-KFFC4890,H18.30.002.CX.46,H18.30.002,164,288,115,8268,494,16,-10,-14.5,white matter of forebrain,FWM
RI-DFFGGG323417,RI-GDDEFE672207,265297126,H18.30.002.10x.VA,SL-KFFCYT489056,DO-KFFC4890,H18.30.002.CX.47,H18.30.002,164,260,167,9618,589,16,4,11.5,white matter of forebrain,FWM
RI-ABYCEY772171,RI-FHFCCI550369,265297126,H18.30.002.10x.ANC,SL-KFFCMT489071,DO-KFFC4890,H18.30.002.CX.48,H18.30.002,170,234,178,8324,507,13,17,17,ventral lateral nucleus of thalamus,VL
RI-PQXQPT575108,RI-WXYZUC966154,265297126,H19.30.002.10x.CEN,SL-RLQJNI866689,DO-RLQJ8666,H19.30.002.CX.48,H19.30.002,151,252,110,7346.5,140,22.5,8,-17,basomedial nucleus (accessory basal nucleus),BM
RI-QQMRQQ540993,RI-NLLLTU921087,265297126,H19.30.002.10x.CA2-3,SL-RLQJWW866674,DO-RLQJ8666,H19.30.002.CX.50,H19.30.002,139,218,120,6381,115,28.5,25,-12,white matter of forebrain,FWM
RI-GINJKG397102,RI-EXFDAD324450,265297126,H19.30.002.10x.Rostral DG-CA4,SL-RLQJHH866663,DO-RLQJ8666,H19.30.002.CX.51,H19.30.002,139,218,106,6389.5,108,28.5,25,-19,white matter of forebrain,FWM
RI-ABYYXW675474,RI-MONTOL870413,265297126,H19.30.001.10x.HTHso-HTHtub,SL-HBBUDD135255,DO-HBBU1352,H19.30.001.CX.47,H19.30.001,201,261,128,1287.5,30,-2.5,3.5,-8,tuberal region of HTH,HTHtub
RI-FGNJIN185358,RI-IJKDDD682451,265297126,H19.30.001.10x.Cla,SL-HBBUWX135273,DO-HBBU1352,H19.30.001.CX.48,H19.30.001,122,228,133,16266.5,271,37,20,-5.5,white matter of forebrain,FWM
RI-YDWUUC391996,RI-TMLNLQ593174,265297126,H19.30.001.10x.CM-Pf,SL-HBBUCZ135225,DO-HBBU1352,H19.30.001.CX.49,H19.30.001,164,226,147,27112,423,16,21,1.5,ventral posterior lateral nucleus,VPL
RI-TMSOOS152552,RI-SURRSU662780,265297126,H19.30.001.10x.LG,SL-HBBUTY135243,DO-HBBU1352,H19.30.001.CX.50,H19.30.001,151,218,125,12381.5,234,22.5,25,-9.5,outside_brain,OUT
RI-NNOKLJ971915,RI-BTBVVT624383,265297126,H18.30.002.10x.FI,SL-KFFCNK489015,DO-KFFC4890,H18.30.002.CX.46,H18.30.002,138,291,119,4662,278,29,-11.5,-12.5,white matter of forebrain,FWM
RI-UXZCWU608237,RI-SXQXXP795276,265297126,H18.30.002.10x.BNST,SL-KFFCYT489056,DO-KFFC4890,H18.30.002.CX.47,H18.30.002,164,272,142,5776,353,16,-2,-1,external segment of globus pallidus,GPe
RI-QIKMPM482203,RI-SWUTUV646921,265297126,H18.30.002.10x.VLN,SL-KFFCMT489071,DO-KFFC4890,H18.30.002.CX.48,H18.30.002,151,236,148,19656,1199,22.5,16,2,white matter of forebrain,FWM
RI-WYAVUS443188,RI-IEFFLD289981,265297126,H19.30.002.10x.BM.003,SL-RLQJNI866689,DO-RLQJ8666,H19.30.002.CX.48,H19.30.002,163,245,120,13770,262,16.5,11.5,-12,cerebral peduncle (crus cerebri),cpd
RI-KHMGHN488674,RI-ZAHIDZ298765,265297126,H19.30.002.CX50.MEC,SL-RLQJWW866674,DO-RLQJ8666,H19.30.002.CX.50,H19.30.002,164,227,86,7375.5,133,16,20.5,-29,outside_brain,OUT
RI-SQXRXW749932,RI-CDEFBF459548,265297126,H19.30.002.CX51.Ig,SL-RLQJHH866663,DO-RLQJ8666,H19.30.002.CX.51,H19.30.002,121,208,152,9855,166,37.5,30,4,white matter of forebrain,FWM
RI-KNOKOS708042,RI-JMLLNH491017,265297126,H19.30.001.CX47.Pu,SL-HBBUDD135255,DO-HBBU1352,H19.30.001.CX.47,H19.30.001,148,250,148,8929,211,24,9,2,external segment of globus pallidus,GPe
